日時,モデル,軸,試行名,OOF_AUC,基準との差,秒,引数
2026-09-21 13:59,lgbm,num_leaves,lgbm_hpo_nl15,0.946070,-0.000025,334,--num_leaves 15
2026-09-21 14:05,lgbm,num_leaves,lgbm_hpo_nl63,0.946100,+0.000005,339,--num_leaves 63
2026-09-21 14:12,lgbm,num_leaves,lgbm_hpo_nl127,0.946100,+0.000005,451,--num_leaves 127
2026-09-21 14:26,lgbm,num_leaves,lgbm_hpo_nl15,0.946070,-0.000025,1007,--num_leaves 15
2026-09-21 14:39,lgbm,num_leaves,lgbm_hpo_nl63,0.946100,+0.000005,733,--num_leaves 63
2026-09-21 14:47,lgbm,num_leaves,lgbm_hpo_nl127,0.946100,+0.000005,507,--num_leaves 127
2026-09-21 23:42,xgb,max_depth,xgb_hpo_d4,0.946080,+0.000003,567,--set-param max_depth=4
2026-09-21 23:51,xgb,max_depth,xgb_hpo_d6,0.946000,-0.000077,496,--set-param max_depth=6
2026-09-21 23:58,xgb,max_depth,xgb_hpo_d7,0.945970,-0.000107,416,--set-param max_depth=7
2026-09-22 00:07,xgb,colsample,xgb_hpo_cs02,0.946070,-0.000007,572,--set-param colsample_bytree=0.2
2026-09-22 00:16,xgb,colsample,xgb_hpo_cs04,0.946060,-0.000017,554,--set-param colsample_bytree=0.4
2026-09-22 00:25,xgb,colsample,xgb_hpo_cs05,0.946040,-0.000037,521,--set-param colsample_bytree=0.5
2026-09-22 00:34,xgb,min_child_weight,xgb_hpo_mcw5,0.946080,+0.000003,544,--set-param min_child_weight=5
2026-09-22 00:43,xgb,min_child_weight,xgb_hpo_mcw20,0.946040,-0.000037,531,--set-param min_child_weight=20
2026-09-22 00:52,xgb,subsample,xgb_hpo_sub08,0.946080,+0.000003,560,--set-param subsample=0.8
2026-09-22 01:02,xgb,subsample,xgb_hpo_sub06,0.946050,-0.000027,552,--set-param subsample=0.6
2026-09-22 01:22,catboost,depth,catboost_hpo_d5,0.945950,+0.000060,1242,--depth 5
2026-09-22 01:49,catboost,depth,catboost_hpo_d7,0.945820,-0.000070,1602,--depth 7
2026-09-22 02:19,catboost,depth,catboost_hpo_d8,0.945650,-0.000240,1812,--depth 8
2026-09-22 02:38,catboost,one_hot,catboost_hpo_ohms16,0.945890,+0.000000,1135,--one-hot 16
2026-09-22 02:48,catboost,one_hot,catboost_hpo_ohms64,0.945860,-0.000030,586,--one-hot 64
